objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
cent_001,garcia_photo_2_0448r.jpg,,,El edificio de la Asociación Cristiana de Jovenes,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-10,Asociación Cristiana de Jóvenes (Inauguraciones),Arquitectura;Inauguraciones;Iglesia Católica;Juventud,"Ciudad de México, México",19.432934,-99.148595,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",448,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_002,garcia_photo_1_0246r.jpg,,,[La vanguardia del desfile de carros alegóricos del comercio],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",246,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_003,garcia_photo_1_0248r.jpg,,,La vanguardia del desfile de carros alegóricos del comercio,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",248,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_004,garcia_photo_1_0249r.jpg,,,[La vanguardia del desfile de carros alegóricos del comercio],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",249,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_005,garcia_photo_2_0257r.jpg,,,El carro alegórico de la Agricultura,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",19.471922,-99.195622,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",257,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_006,garcia_photo_2_0261r.jpg,,,[El carro alegórico de la Agricultura],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Mujeres;Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",261,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_007,garcia_photo_2_0269r.jpg,,,El carro alegórico de la Cervecería de Toluca y México,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Cerveceros;Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",269,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_008,garcia_photo_2_0281r.jpg,,,"El carro alegórico de ""El Palacio de Hierro""","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",281,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_009,garcia_photo_2_0283r.jpg,,,"[El carro alegórico de ""El Palacio de Hierro""]","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",283,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_010,garcia_photo_1_0215r.jpg,,,[Flecheros mexicanos],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",215,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_011,garcia_photo_1_0216r.jpg,,,Guerreros mexicanos,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",216,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_012,garcia_photo_1_0217r.jpg,,,Caballeros-Tigres,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",217,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_013,garcia_photo_1_0223r.jpg,,,Doña Marina y sus acompañantes,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Mujeres;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",223,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_014,garcia_photo_1_0230r.jpg,,,"El Oidor decano, el Virrey y el Alférez Real","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",230,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
